Government,Canada, Carretera,1618.5,20.00, January,2014
Government,Mexico, Paseo,1197,350.00, November,2014
Midmarket,Mexico, Paseo,380,15.00, December,2013
Government,Mexico, Paseo,1233,20.00, December,2014
Government,Mexico, Velo,1395,350.00, July,2014
Government,United States of America, Velo,986,350.00, October,2014
Government,Mexico, Velo,905,20.00, October,2014
Channel Partners,Canada, VTT,2109,12.00, May,2014
Midmarket,France, VTT,3874.5,15.00, July,2014
Government,Canada, VTT,623,350.00, September,2013
Government,United States of America, VTT,986,350.00, October,2014
Enterprise,United States of America, VTT,2387,125.00, November,2014
Government,Mexico, VTT,1233,20.00, December,2014
Government,United States of America, Amarilla,270,350.00, February,2014
Government,France, Amarilla,3421.5,7.00, July,2014
Government,Canada, Amarilla,2734,7.00, October,2014
Midmarket,United States of America, Amarilla,2548,15.00, November,2013
Government,France, Carretera,2521.5,20.00, January,2014
Channel Partners,Mexico, Montana,2661,12.00, May,2014
Government,Germany, Paseo,1531,20.00, December,2014
Government,France, VTT,1491,7.00, March,2014
Government,Germany, VTT,1531,20.00, December,2014
Channel Partners,Canada, Amarilla,2761,12.00, September,2013
Midmarket,United States of America, Carretera,2567,15.00, June,2014
Midmarket,United States of America, VTT,2567,15.00, June,2014
Government,Canada, Carretera,923,350.00, March,2014
Government,France, Carretera,1790,350.00, March,2014
Government,Germany, Carretera,442,20.00, September,2013
Government,United States of America, Montana,982.5,350.00, January,2014
Government,United States of America, Montana,1298,7.00, February,2014
Channel Partners,Mexico, Montana,604,12.00, June,2014
Government,Mexico, Montana,2255,20.00, July,2014
Government,Canada, Montana,1249,20.00, October,2014
Government,United States of America, Paseo,1438.5,7.00, January,2014
Small Business,Germany, Paseo,807,300.00, January,2014
Government,United States of America, Paseo,2641,20.00, February,2014
Government,Germany, Paseo,2708,20.00, February,2014
Government,Canada, Paseo,2632,350.00, June,2014
Enterprise,Canada, Paseo,1583,125.00, June,2014
Channel Partners,Mexico, Paseo,571,12.00, July,2014
Government,France, Paseo,2696,7.00, August,2014
Midmarket,Canada, Paseo,1565,15.00, October,2014
Government,Canada, Paseo,1249,20.00, October,2014
Government,Germany, Paseo,357,350.00, November,2014
Channel Partners,Germany, Paseo,1013,12.00, December,2014
Midmarket,France, Velo,3997.5,15.00, January,2014
Government,Canada, Velo,2632,350.00, June,2014
Government,France, Velo,1190,7.00, June,2014
Channel Partners,Mexico, Velo,604,12.00, June,2014
Midmarket,Germany, Velo,660,15.00, September,2013
Channel Partners,Mexico, Velo,410,12.00, October,2014
Small Business,Mexico, Velo,2605,300.00, November,2013
Channel Partners,Germany, Velo,1013,12.00, December,2014
Enterprise,Canada, VTT,1583,125.00, June,2014
Midmarket,Canada, VTT,1565,15.00, October,2014
Enterprise,Canada, Amarilla,1659,125.00, January,2014
Government,France, Amarilla,1190,7.00, June,2014
Channel Partners,Mexico, Amarilla,410,12.00, October,2014
Channel Partners,Germany, Amarilla,1770,12.00, December,2013
Government,Mexico, Carretera,2579,20.00, April,2014
Government,United States of America, Carretera,1743,20.00, May,2014
Government,United States of America, Carretera,2996,7.00, October,2013
Government,Germany, Carretera,280,7.00, December,2014
Government,France, Montana,293,7.00, February,2014
Government,United States of America, Montana,2996,7.00, October,2013
Midmarket,Germany, Paseo,278,15.00, February,2014
Government,Canada, Paseo,2428,20.00, March,2014
Midmarket,United States of America, Paseo,1767,15.00, September,2014
Channel Partners,France, Paseo,1393,12.00, October,2014
Government,Germany, VTT,280,7.00, December,2014
Channel Partners,France, Amarilla,1393,12.00, October,2014
Channel Partners,United States of America, Amarilla,2015,12.00, December,2013
Small Business,Mexico, Carretera,801,300.00, July,2014
Enterprise,France, Carretera,1023,125.00, September,2013
Small Business,Canada, Carretera,1496,300.00, October,2014
Small Business,United States of America, Carretera,1010,300.00, October,2014
Midmarket,Germany, Carretera,1513,15.00, November,2014
Midmarket,Canada, Carretera,2300,15.00, December,2014
Enterprise,Mexico, Carretera,2821,125.00, December,2013
Government,Canada, Montana,2227.5,350.00, January,2014
Government,Germany, Montana,1199,350.00, April,2014
Government,Canada, Montana,200,350.00, May,2014
Government,Canada, Montana,388,7.00, September,2014
Government,Mexico, Montana,1727,7.00, October,2013
Midmarket,Canada, Montana,2300,15.00, December,2014
Government,Mexico, Paseo,260,20.00, February,2014
Midmarket,Canada, Paseo,2470,15.00, September,2013
Midmarket,Canada, Paseo,1743,15.00, October,2013
Channel Partners,United States of America, Paseo,2914,12.00, October,2014
Government,France, Paseo,1731,7.00, October,2014
Government,Canada, Paseo,700,350.00, November,2014
Channel Partners,Canada, Paseo,2222,12.00, November,2013
Government,United States of America, Paseo,1177,350.00, November,2014
Government,France, Paseo,1922,350.00, November,2013
Enterprise,Mexico, Velo,1575,125.00, February,2014
Government,United States of America, Velo,606,20.00, April,2014
Small Business,United States of America, Velo,2460,300.00, July,2014
Small Business,Canada, Velo,269,300.00, October,2013
Small Business,Germany, Velo,2536,300.00, November,2013
Government,Mexico, VTT,2903,7.00, March,2014
Small Business,United States of America, VTT,2541,300.00, August,2014
Small Business,Canada, VTT,269,300.00, October,2013
Small Business,Canada, VTT,1496,300.00, October,2014
Small Business,United States of America, VTT,1010,300.00, October,2014
Government,France, VTT,1281,350.00, December,2013
Small Business,Canada, Amarilla,888,300.00, March,2014
Enterprise,United States of America, Amarilla,2844,125.00, May,2014
Channel Partners,France, Amarilla,2475,12.00, August,2014
Midmarket,Canada, Amarilla,1743,15.00, October,2013
Channel Partners,United States of America, Amarilla,2914,12.00, October,2014
Government,France, Amarilla,1731,7.00, October,2014
Government,Mexico, Amarilla,1727,7.00, October,2013
Midmarket,Mexico, Amarilla,1870,15.00, November,2013
Enterprise,France, Carretera,1174,125.00, August,2014
Enterprise,Germany, Carretera,2767,125.00, August,2014
Enterprise,Germany, Carretera,1085,125.00, October,2014
Small Business,Mexico, Montana,546,300.00, October,2014
Government,Germany, Paseo,1158,20.00, March,2014
Midmarket,Canada, Paseo,1614,15.00, April,2014
Government,Mexico, Paseo,2535,7.00, April,2014
Government,Mexico, Paseo,2851,350.00, May,2014
Midmarket,Canada, Paseo,2559,15.00, August,2014
Government,United States of America, Paseo,267,20.00, October,2013
Enterprise,Germany, Paseo,1085,125.00, October,2014
Midmarket,Germany, Paseo,1175,15.00, October,2014
Government,United States of America, Paseo,2007,350.00, November,2013
Government,Mexico, Paseo,2151,350.00, November,2013
Channel Partners,United States of America, Paseo,914,12.00, December,2014
Government,France, Paseo,293,20.00, December,2014
Channel Partners,Mexico, Velo,500,12.00, March,2014
Midmarket,France, Velo,2826,15.00, May,2014
Enterprise,France, Velo,663,125.00, September,2014
Small Business,United States of America, Velo,2574,300.00, November,2013
Enterprise,United States of America, Velo,2438,125.00, December,2013
Channel Partners,United States of America, Velo,914,12.00, December,2014
Government,Canada, VTT,865.5,20.00, July,2014
Midmarket,Germany, VTT,492,15.00, July,2014
Government,United States of America, VTT,267,20.00, October,2013
Midmarket,Germany, VTT,1175,15.00, October,2014
Enterprise,Canada, VTT,2954,125.00, November,2013
Enterprise,Germany, VTT,552,125.00, November,2014
Government,France, VTT,293,20.00, December,2014
Small Business,France, Amarilla,2475,300.00, March,2014
Small Business,Mexico, Amarilla,546,300.00, October,2014
Government,Mexico, Montana,1368,7.00, February,2014
Government,Canada, Paseo,723,7.00, April,2014
Channel Partners,United States of America, VTT,1806,12.00, May,2014
